Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Aktivasi Email,,Test module cek fitur Aktivasi ulang email,,2023-09-18 15:22:36,2023-09-18 15:23:08,31.845s,PASSED
,,,,,,,
Test Cases/Aktivasi Email/TC_Email_Aktivasi,,,,2023-09-18 15:22:37,2023-09-18 15:23:08,31.574s,PASSED
startExistingApplication(APP_EXIST),,Buka Aplikasi Klik IGR,,2023-09-18 15:22:37,2023-09-18 15:22:51,13.942s,PASSED
"waitForElementPresent(findTestObject(""Kategori/Ibu dan Anak""), 0, STOP_ON_FAILURE)",,,,2023-09-18 15:22:51,2023-09-18 15:23:01,10.145s,PASSED
"tap(findTestObject(""Object Repository/Aktivasi Email/Menu Akun""), 0, STOP_ON_FAILURE)",,Tap menu Akun,,2023-09-18 15:23:01,2023-09-18 15:23:01,0.324s,PASSED
"tap(findTestObject(""Object Repository/Aktivasi Email/Kirim Ulang Email Aktivasi""), 0, STOP_ON_FAILURE)",,"Tap tombol ""Kirim Ulang Email Aktivasi""",,2023-09-18 15:23:01,2023-09-18 15:23:03,1.643s,PASSED
"tap(findTestObject(""Object Repository/Aktivasi Email/Field Email Aktivasi""), 0, STOP_ON_FAILURE)",,Tap field 'Email',,2023-09-18 15:23:03,2023-09-18 15:23:03,0.412s,PASSED
"setText(findTestObject(""Aktivasi Email/Field Email Aktivasi""), ""sulthanraihan@ymail.com"", 0, STOP_ON_FAILURE)",,Input email yang valid,,2023-09-18 15:23:03,2023-09-18 15:23:04,0.260s,PASSED
"tap(findTestObject(""Object Repository/Aktivasi Email/Kirim Email Aktivasi""), 0, STOP_ON_FAILURE)",,"Tap tombol ""Kirim Email Aktivasi""",,2023-09-18 15:23:04,2023-09-18 15:23:05,1.383s,PASSED
"delay(1, STOP_ON_FAILURE)",,,,2023-09-18 15:23:05,2023-09-18 15:23:06,1.041s,PASSED
"takeScreenshot(getReportFolder() + ""Cek Email Aktivasi.png"", STOP_ON_FAILURE)",,,,2023-09-18 15:23:06,2023-09-18 15:23:07,1.150s,PASSED
"tap(findTestObject(""Object Repository/Aktivasi Email/Back Aktivasi Email""), 0)",,"Tap tombol ""Back""",,2023-09-18 15:23:07,2023-09-18 15:23:08,0.302s,PASSED
closeApplication(),,Tutup Aplikasi Klik IGR,,2023-09-18 15:23:08,2023-09-18 15:23:08,0.587s,PASSED
