Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ambil_Di_Toko_Mandiri,,"Test module checkout, pengiriman ambil di grosir, pembayaran dengan VA Mandiri",,2023-09-18 16:43:21,2023-09-18 16:44:42,1m - 21.481s,PASSED
,,,,,,,
Test Cases/Checkout/Keranjang/TC_Pesan_Ulang,,Test case cek fungsi pesan ulang produk,,2023-09-18 16:43:21,2023-09-18 16:43:45,23.599s,PASSED
"startExistingApplication(APP_EXIST, CONTINUE_ON_FAILURE)",,,,2023-09-18 16:43:21,2023-09-18 16:43:34,12.831s,PASSED
"waitForElementPresent(findTestObject(""Kategori/Minuman""), 0)",,,,2023-09-18 16:43:34,2023-09-18 16:43:36,1.649s,PASSED
"if (waitForElementPresent(findTestObject(""Homepage/Pesan Ulang""), 0) == true)",,,,2023-09-18 16:43:36,2023-09-18 16:43:38,2.562s,PASSED
"waitForElementPresent(findTestObject(""Homepage/Tutup Pop-up Pesan Ulang""), 0)",,,,2023-09-18 16:43:38,2023-09-18 16:43:39,0.697s,PASSED
"tap(findTestObject(""Homepage/Tutup Pop-up Pesan Ulang""), 0)",,"Tap tombol ""Tutup"" pada pop-up berhasil pesan ulang",,2023-09-18 16:43:39,2023-09-18 16:43:40,0.976s,PASSED
"tap(findTestObject(""Homepage/Keranjang Home 1""), 0)",,"Tap tombol icon ""Keranjang"" pada homepage",,2023-09-18 16:43:40,2023-09-18 16:43:43,2.478s,PASSED
"waitForElementPresent(findTestObject(""Checkout/Pengiriman/NEW Tombol Pengiriman""), 0)",,,,2023-09-18 16:43:43,2023-09-18 16:43:43,0.777s,PASSED
"if (verifyElementExist(findTestObject(""Checkout/Keranjang/Case Potongan Pengiriman/Dji Sam Soe/Gambar Rokok""), 1, OPTIONAL))",,,,2023-09-18 16:43:43,2023-09-18 16:43:45,1.148s,PASSED
else,,,,2023-09-18 16:43:45,2023-09-18 16:43:45,0.166s,PASSED
,,,,,,,
