Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Filter,,Test module Filter memilih semua fungsi filter,,2023-09-18 16:13:26,2023-09-18 16:16:31,3m - 4.892s,FAILED
,,,,,,,
Test Cases/Filter/Main/TC_Filter_Null,,Test case Filter Kosong,,2023-09-18 16:13:26,2023-09-18 16:13:57,31.468s,PASSED
"callTestCase(findTestCase(""Kategori/TC_Kategori_Minuman""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 16:13:26,2023-09-18 16:13:47,20.436s,PASSED
"callTestCase(findTestCase(""Filter/TC_Filter_Button""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 16:13:47,2023-09-18 16:13:48,1.553s,PASSED
"callTestCase(findTestCase(""Filter/TC_Filter_Submit""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 16:13:48,2023-09-18 16:13:56,7.618s,PASSED
"takeScreenshot(""Reports/Filter Null.png"")",,,,2023-09-18 16:13:56,2023-09-18 16:13:57,1.004s,PASSED
closeApplication(),,,,2023-09-18 16:13:57,2023-09-18 16:13:57,0.564s,PASSED
,,,,,,,
Test Cases/Filter/Main/TC_Filter_Min,,Test case Filter harga minimum,,2023-09-18 16:13:57,2023-09-18 16:14:28,30.184s,PASSED
"callTestCase(findTestCase(""Kategori/TC_Kategori_Minuman""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 16:13:58,2023-09-18 16:14:14,15.805s,PASSED
"callTestCase(findTestCase(""Filter/TC_Filter_Button""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 16:14:14,2023-09-18 16:14:15,1.359s,PASSED
"tap(findTestObject(""Filter/Harga Minimum""), 0)",,Tap field 'Minimum',,2023-09-18 16:14:15,2023-09-18 16:14:16,0.631s,PASSED
"setText(findTestObject(""Filter/Harga Minimum""), ""20000"", 0)",,Input data '20000' pada field Minimum,,2023-09-18 16:14:16,2023-09-18 16:14:17,1.612s,PASSED
pressBack(),,,,2023-09-18 16:14:17,2023-09-18 16:14:18,0.740s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",,,,2023-09-18 16:14:18,2023-09-18 16:14:19,1.013s,PASSED
