Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bantuan,,Test module Profil skenario melihat menu Bantuan,,2023-09-19 16:29:39,2023-09-19 16:30:55,1m - 16.274s,PASSED
,,,,,,,
Test Cases/Profil/TC_Profil_Button,,Test case tap menu 'Akun',,2023-09-19 16:29:39,2023-09-19 16:29:55,15.441s,PASSED
"startExistingApplication(APP_EXIST, CONTINUE_ON_FAILURE)",,,,2023-09-19 16:29:40,2023-09-19 16:29:51,11.706s,PASSED
"waitForElementPresent(findTestObject(""Kategori/Minuman""), 0)",,,,2023-09-19 16:29:51,2023-09-19 16:29:54,3.089s,PASSED
"tap(findTestObject(""Profil/Profil_Button/Menu Akun""), 0)",,Tap menu 'Akun',,2023-09-19 16:29:54,2023-09-19 16:29:55,0.354s,PASSED
,,,,,,,
Test Cases/Profil/Bantuan/TC_Cara_Belanja,,Test module Profil skenario melihat menu Cara Belanja,,2023-09-19 16:29:55,2023-09-19 16:30:08,12.761s,PASSED
"swipe(100, 600, 0, 0)",,,,2023-09-19 16:29:55,2023-09-19 16:29:57,1.174s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",,,,2023-09-19 16:29:57,2023-09-19 16:29:58,1.051s,PASSED
"tap(findTestObject(""Profil/Bantuan/Cara Belanja""), 0)",,Tap menu 'Cara Belanja',,2023-09-19 16:29:58,2023-09-19 16:29:59,1.844s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-09-19 16:29:59,2023-09-19 16:30:01,2.017s,PASSED
"takeScreenshot(getReportFolder() + ""Cara Belanja.png"", CONTINUE_ON_FAILURE)",,,,2023-09-19 16:30:01,2023-09-19 16:30:03,1.858s,PASSED
"swipe(100, 1000, 0, 0)",,,,2023-09-19 16:30:03,2023-09-19 16:30:05,1.859s,PASSED
"tap(findTestObject(""Profil/Bantuan/Back""), 0)",,Tap icon 'Back' untuk kembali ke laman Profil,,2023-09-19 16:30:05,2023-09-19 16:30:08,2.413s,PASSED
,,,,,,,
Test Cases/Profil/Bantuan/TC_FAQ,,Test module Profil skenario melihat menu Cara Belanja,,2023-09-19 16:30:08,2023-09-19 16:30:18,9.997s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",,,,2023-09-19 16:30:08,2023-09-19 16:30:09,1.015s,PASSED
"tap(findTestObject(""Profil/Bantuan/FAQ""), 0)",,Tap menu 'FAQ',,2023-09-19 16:30:09,2023-09-19 16:30:10,1.164s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-09-19 16:30:10,2023-09-19 16:30:12,2.007s,PASSED
