Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register Email,,Test module Register tiap case Email,,2023-09-18 15:28:28,2023-09-18 15:31:26,2m - 57.503s,PASSED
,,,,,,,
Test Cases/Register/Email/Main/TC_Register_Email_Null,,Test case register dengan email kosong,,2023-09-18 15:28:29,2023-09-18 15:29:28,59.351s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:28:29,2023-09-18 15:28:46,17.391s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:28:46,2023-09-18 15:28:48,1.871s,PASSED
"callTestCase(findTestCase(""Register/Password/TC_Register_ValidPassword""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:28:48,2023-09-18 15:28:53,5.311s,PASSED
"callTestCase(findTestCase(""Register/Address/TC_Register_ValidAddress""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:28:53,2023-09-18 15:29:17,24.098s,PASSED
"callTestCase(findTestCase(""Register/Phone_Number/TC_Register_ValidPhone""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:29:17,2023-09-18 15:29:24,6.946s,PASSED
"tap(findTestObject(""Register/Tombol Daftar""), 0)",,Tap tombol 'Daftar' setelah mengisi form Register,,2023-09-18 15:29:24,2023-09-18 15:29:25,0.754s,PASSED
"swipe(400, 400, 400, 1000)",,,,2023-09-18 15:29:25,2023-09-18 15:29:26,1.030s,PASSED
"waitForElementPresent(findTestObject(""Register/Email/Alert Email tidak valid""), 0)",,,,2023-09-18 15:29:26,2023-09-18 15:29:26,0.140s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/Email/Alert Email tidak valid""), 0)",,"Pastikan muncul alert ""Email tidak valid!""",,2023-09-18 15:29:26,2023-09-18 15:29:27,0.166s,PASSED
"takeScreenshot(getReportFolder() + ""Null Email Result.png"", CONTINUE_ON_FAILURE)",,,,2023-09-18 15:29:27,2023-09-18 15:29:27,0.793s,PASSED
closeApplication(),,,,2023-09-18 15:29:27,2023-09-18 15:29:28,0.549s,PASSED
,,,,,,,
Test Cases/Register/Email/Main/TC_Register_Email_Taken,,Test case register dengan email yang sudah terdaftar,,2023-09-18 15:29:28,2023-09-18 15:30:28,1m - 0.434s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:29:28,2023-09-18 15:29:45,16.217s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:29:45,2023-09-18 15:29:46,1.563s,PASSED
"callTestCase(findTestCase(""Register/Email/TC_Register_EmailTaken""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:29:46,2023-09-18 15:29:48,2.034s,PASSED
"callTestCase(findTestCase(""Register/Password/TC_Register_ValidPassword""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:29:48,2023-09-18 15:29:54,6.354s,PASSED
"callTestCase(findTestCase(""Register/Address/TC_Register_ValidAddress""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:29:54,2023-09-18 15:30:17,22.987s,PASSED
"callTestCase(findTestCase(""Register/Phone_Number/TC_Register_ValidPhone""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:30:17,2023-09-18 15:30:24,6.740s,PASSED
"tap(findTestObject(""Register/Tombol Daftar""), 0)",,Tap tombol 'Daftar',,2023-09-18 15:30:24,2023-09-18 15:30:26,1.529s,PASSED
