Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register Phone,,Test module Register Input Nomor Handphone yang sudah terdaftar,,2023-09-18 15:51:04,2023-09-18 15:53:59,2m - 54.737s,PASSED
,,,,,,,
Test Cases/Register/Phone_Number/Main/TC_Register_Null_Phone,,Test case Register dengan field nomor HP kosong,,2023-09-18 15:51:05,2023-09-18 15:51:59,54.828s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:51:05,2023-09-18 15:51:21,16.479s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:51:21,2023-09-18 15:51:23,1.836s,PASSED
"callTestCase(findTestCase(""Register/Email/TC_Register_ValidEmail""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:51:23,2023-09-18 15:51:25,1.966s,PASSED
"callTestCase(findTestCase(""Register/Password/TC_Register_ValidPassword""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:51:25,2023-09-18 15:51:32,6.438s,PASSED
"callTestCase(findTestCase(""Register/Address/TC_Register_ValidAddress""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:51:32,2023-09-18 15:51:56,23.949s,PASSED
"swipe(100, 400, 0, 0)",,,,2023-09-18 15:51:56,2023-09-18 15:51:57,1.129s,PASSED
"waitForElementPresent(findTestObject(""Register/Tombol Daftar""), 0)",,,,2023-09-18 15:51:57,2023-09-18 15:51:57,0.125s,PASSED
"tap(findTestObject(""Register/Tombol Daftar""), 0)",,Tap tombol 'Daftar' setelah mengisi form Register,,2023-09-18 15:51:57,2023-09-18 15:51:58,0.714s,PASSED
"waitForElementPresent(findTestObject(""Register/Phone_Number/Alert Nomor HP tidak valid""), 0)",,,,2023-09-18 15:51:58,2023-09-18 15:51:58,0.168s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/Phone_Number/Alert Nomor HP tidak valid""), 0)",,"Pastikan muncul alert ""Nomor telpon yang anda masukkan tidak valid""",,2023-09-18 15:51:58,2023-09-18 15:51:58,0.173s,PASSED
"takeScreenshot(getReportFolder() + ""Invalid Phone Result.png"", CONTINUE_ON_FAILURE)",,,,2023-09-18 15:51:58,2023-09-18 15:51:59,1.054s,PASSED
closeApplication(),,,,2023-09-18 15:51:59,2023-09-18 15:51:59,0.487s,PASSED
,,,,,,,
Test Cases/Register/Phone_Number/Main/TC_Register_Invalid_Phone,,Test case Register dengan nomor HP yang salah,,2023-09-18 15:51:59,2023-09-18 15:52:58,58.486s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:52:00,2023-09-18 15:52:15,15.241s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:52:15,2023-09-18 15:52:17,1.650s,PASSED
"callTestCase(findTestCase(""Register/Email/TC_Register_ValidEmail""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:52:17,2023-09-18 15:52:19,2.003s,PASSED
"callTestCase(findTestCase(""Register/Password/TC_Register_ValidPassword""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:52:19,2023-09-18 15:52:25,6.348s,PASSED
"callTestCase(findTestCase(""Register/Address/TC_Register_ValidAddress""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:52:25,2023-09-18 15:52:48,22.950s,PASSED
"callTestCase(findTestCase(""Register/Phone_Number/TC_Register_InvalidPhone""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:52:48,2023-09-18 15:52:56,7.523s,PASSED
"tap(findTestObject(""Register/Tombol Daftar""), 0)",,Tap tombol 'Daftar' setelah mengisi form Register,,2023-09-18 15:52:56,2023-09-18 15:52:56,0.782s,PASSED
"waitForElementPresent(findTestObject(""Register/Phone_Number/Alert Nomor HP tidak valid""), 0)",,,,2023-09-18 15:52:56,2023-09-18 15:52:57,0.209s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/Phone_Number/Alert Nomor HP tidak valid""), 0)",,"Pastikan muncul alert ""Nomor telpon yang anda masukkan tidak valid""",,2023-09-18 15:52:57,2023-09-18 15:52:57,0.193s,PASSED
"takeScreenshot(getReportFolder() + ""Invalid Phone Result.png"", CONTINUE_ON_FAILURE)",,,,2023-09-18 15:52:57,2023-09-18 15:52:58,0.904s,PASSED
closeApplication(),,,,2023-09-18 15:52:58,2023-09-18 15:52:58,0.360s,PASSED
,,,,,,,
Test Cases/Register/Phone_Number/Main/TC_Register_Phone_Taken,,Test case Register dengan nomor HP yang sudah terdaftar,,2023-09-18 15:52:58,2023-09-18 15:53:59,1m - 1.175s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:52:58,2023-09-18 15:53:15,16.144s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:53:15,2023-09-18 15:53:16,1.791s,PASSED
"callTestCase(findTestCase(""Register/Email/TC_Register_ValidEmail""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:53:16,2023-09-18 15:53:18,2.089s,PASSED
"callTestCase(findTestCase(""Register/Password/TC_Register_ValidPassword""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:53:18,2023-09-18 15:53:25,6.115s,PASSED
"callTestCase(findTestCase(""Register/Address/TC_Register_ValidAddress""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:53:25,2023-09-18 15:53:49,24.260s,PASSED
"callTestCase(findTestCase(""Register/Phone_Number/TC_Register_PhoneTaken""), [:], STOP_ON_FAILURE)",,,,2023-09-18 15:53:49,2023-09-18 15:53:56,7.470s,PASSED
"tap(findTestObject(""Register/Tombol Daftar""), 0)",,Tap tombol 'Daftar' setelah mengisi form Register,,2023-09-18 15:53:56,2023-09-18 15:53:57,0.770s,PASSED
"waitForElementPresent(findTestObject(""Register/Phone_Number/Tutup Alert Nomor HP sudah terdaftar""), 10)",,,,2023-09-18 15:53:57,2023-09-18 15:53:57,0.328s,PASSED
"takeScreenshot(getReportFolder() + ""Failed Register Taken Phone.png"", CONTINUE_ON_FAILURE)",,,,2023-09-18 15:53:57,2023-09-18 15:53:58,0.917s,PASSED
"tap(findTestObject(""Object Repository/Register/Phone_Number/Tutup Alert Nomor HP sudah terdaftar""), 0)",,"Tap tombol 'Tutup' pada alert ""Nomor Handphone sudah terhubung dengan akun lain""",,2023-09-18 15:53:58,2023-09-18 15:53:59,0.306s,PASSED
closeApplication(),,,,2023-09-18 15:53:59,2023-09-18 15:53:59,0.510s,PASSED
