Suite/Test/Step Name;Description;Start time;End time;Duration;Status
SMotor_BRI;Test module Checkout pengiriman sameday motor, pembayaran VA BRI;21/03/2023 08:52;21/03/2023 08:53;1m - 17.724s;PASSED
;;;;;
Test Cases/Checkout/Tambah_Keranjang/TC_Tambah_Produk;;21/03/2023 08:52;21/03/2023 08:53;40.547s;PASSED
startApplication(APP, false);;21/03/2023 08:52;21/03/2023 08:53;23.424s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Tambah_Keranjang/Tambah_Produk/android.widget.ImageView"")";Tap Jenis Kategori 'Lebaran 2023';21/03/2023 08:53;21/03/2023 08:53;2.967s;PASSED
delay(2, STOP_ON_FAILURE);;21/03/2023 08:53;21/03/2023 08:53;2.088s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Tambah_Keranjang/Tambah_Produk/android.widget.Button"")";Tap tombol '+ Keranjang' pada produk 'Monde Biskuit Butter Cookies KLG 454g';21/03/2023 08:53;21/03/2023 08:53;0.690s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Tambah_Keranjang/Tambah_Produk/android.widget.Button (1)"")";Tap icon '+' untuk menambah jumlah produk;21/03/2023 08:53;21/03/2023 08:53;1.839s;PASSED
"tap(findTestObject(""Checkout/Tambah_Keranjang/Tambah_Produk/android.widget.Button (1)"")";Tap icon '+' untuk menambah jumlah produk;21/03/2023 08:53;21/03/2023 08:53;0.964s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Tambah_Keranjang/Tambah_Produk/android.view.View"")";Tap tombol '+ Keranjang' untuk menambah produk ke menu Keranjang;21/03/2023 08:53;21/03/2023 08:53;0.794s;PASSED
delay(3, STOP_ON_FAILURE);;21/03/2023 08:53;21/03/2023 08:53;3.017s;PASSED
"tap(findTestObject(""Checkout/Tambah_Keranjang/Icon_Keranjang/android.widget.Button"")";Tap icon 'Keranjang' untuk masuk ke menu 'Keranjang';21/03/2023 08:53;21/03/2023 08:53;1.430s;PASSED
delay(3, STOP_ON_FAILURE);;21/03/2023 08:53;21/03/2023 08:53;3.015s;PASSED
;;;;;
Test Cases/Checkout/Pengiriman/TC_Sameday_Motor;Test case pengiriman sameday motor;21/03/2023 08:53;21/03/2023 08:53;20.090s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Pengiriman/Sameday_Motor/android.widget.Button (1)"")";Tap icon 'panah ke atas';21/03/2023 08:53;21/03/2023 08:53;0.914s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Pengiriman/Sameday_Motor/android.widget.Button (2)"")";Tap tombol 'Pengiriman';21/03/2023 08:53;21/03/2023 08:53;1.047s;PASSED
delay(8, CONTINUE_ON_FAILURE);;21/03/2023 08:53;21/03/2023 08:53;8.007s;PASSED
swipe(0, 600, 0, 0);Scroll ke bawah;21/03/2023 08:53;21/03/2023 08:53;1.107s;PASSED
delay(3, CONTINUE_ON_FAILURE);;21/03/2023 08:53;21/03/2023 08:53;3.019s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Pengiriman/Sameday_Motor/android.widget.ImageView"")";Tap opsi pengiriman 'Sameday Motor';21/03/2023 08:53;21/03/2023 08:53;0.848s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Pengiriman/Sameday_Motor/android.widget.Button (3)"")";Tap tombol 'Pembayaran';21/03/2023 08:53;21/03/2023 08:53;0.804s;PASSED
delay(4, CONTINUE_ON_FAILURE);;21/03/2023 08:53;21/03/2023 08:53;4.015s;PASSED
;;;;;
Test Cases/Checkout/Pembayaran/TC_Bayar_BRI;Test case bayar dengan VA BRI;21/03/2023 08:53;21/03/2023 08:53;2.566s;PASSED
swipe(0, 475, 0, 0);;21/03/2023 08:53;21/03/2023 08:53;1.038s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Pembayaran/BRI/android.widget.ImageView"")";Pilih opsi 'Virtual Account BRI';21/03/2023 08:53;21/03/2023 08:53;1.234s;PASSED
;;;;;
Test Cases/Checkout/TC_Checkout;Test case tap tombol Checkout;21/03/2023 08:53;21/03/2023 08:53;14.245s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Checkout/android.widget.Button"")";Tap tombol 'Checkout';21/03/2023 08:53;21/03/2023 08:53;1.071s;PASSED
delay(7, STOP_ON_FAILURE);;21/03/2023 08:53;21/03/2023 08:53;7.020s;PASSED
swipe(0, 600, 0, 0);;21/03/2023 08:53;21/03/2023 08:53;1.056s;PASSED
delay(1, CONTINUE_ON_FAILURE);;21/03/2023 08:53;21/03/2023 08:53;1.011s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Checkout/android.view.View"")";Tap tombol 'Lihat cara pembayaran';21/03/2023 08:53;21/03/2023 08:53;1.093s;PASSED
delay(1, CONTINUE_ON_FAILURE);;21/03/2023 08:53;21/03/2023 08:53;1.008s;PASSED
"tap(findTestObject(""Object Repository/Checkout/Checkout/android.widget.Button (1)"")";Tap icon 'Back' dari laman Lihat Cara Pembayaran;21/03/2023 08:53;21/03/2023 08:53;1.703s;PASSED
