Suite/Test/Step Name;Description;Start time;End time;Duration;Status
Detail_Pesanan;Test module pesanan mengecek detail pesanan;27/03/2023 15:06;27/03/2023 15:07;36.758s;PASSED
;;;;;
Test Cases/Pesanan/TC_Menu_Pesanan;Test case mengakses menu 'Pesanan';27/03/2023 15:06;27/03/2023 15:06;23.636s;PASSED
startApplication(APP;;27/03/2023 15:06;27/03/2023 15:06;21.942s;PASSED
"tap(findTestObject(""Pesanan/Menu Pesanan"")";Tap menu 'Pesanan';27/03/2023 15:06;27/03/2023 15:06;1.374s;PASSED
;;;;;
Test Cases/Pesanan/TC_Detail_Pesanan;Test case cek detail pesanan;27/03/2023 15:06;27/03/2023 15:07;12.864s;PASSED
"tap(findTestObject(""Pesanan/Detail Pesanan/Detail Pesanan 1"")";Tap detail pesanan pada baris pertama;27/03/2023 15:06;27/03/2023 15:07;1.279s;PASSED
delay(2;;27/03/2023 15:07;27/03/2023 15:07;2.058s;PASSED
"tap(findTestObject(""Pesanan/Detail Pesanan/Dropdown Daftar Produk"")";Tap dropdown 'Daftar Produk';27/03/2023 15:07;27/03/2023 15:07;0.938s;PASSED
"tap(findTestObject(""Pesanan/Detail Pesanan/Tambah Keranjang"")";Tap tombol 'Tambah Keranjang';27/03/2023 15:07;27/03/2023 15:07;0.720s;PASSED
delay(2;;27/03/2023 15:07;27/03/2023 15:07;2.024s;PASSED
swipe(100, 600, 0, 0);swipe ke bawah;27/03/2023 15:07;27/03/2023 15:07;1.155s;PASSED
delay(1;;27/03/2023 15:07;27/03/2023 15:07;1.022s;PASSED
"tap(findTestObject(""Pesanan/Detail Pesanan/Pesan Ulang Pesanan"")";Tap tombol 'Pesan Ulang';27/03/2023 15:07;27/03/2023 15:07;0.227s;PASSED
"tap(findTestObject(""Pesanan/Detail Pesanan/Tidak Pesan Ulang"")";Tap tombol 'Tidak' pada pop-up konfirmasi pesan ulang;27/03/2023 15:07;27/03/2023 15:07;1.293s;PASSED
"tap(findTestObject(""Pesanan/Detail Pesanan/Pesan Ulang Pesanan"")";Tap tombol 'Pesan Ulang';27/03/2023 15:07;27/03/2023 15:07;0.747s;PASSED
"tap(findTestObject(""Pesanan/Detail Pesanan/Konfirmasi Pesan Ulang"")";Tap tombol 'Ya' pada pop-up konfirmasi pesan ulang;27/03/2023 15:07;27/03/2023 15:07;0.896s;PASSED
