Suite/Test/Step Name;Description;Start time;End time;Duration;Status
Ubah_Password_Null;Test module Profil mengubah password tanpa mengisi data di semua field;24/03/2023 09:27;24/03/2023 09:28;46.282s;PASSED
;;;;;
Test Cases/Profil/TC_Profil_Button;Test case tap menu 'Akun';24/03/2023 09:27;24/03/2023 09:28;37.391s;PASSED
startApplication(APP, false);;24/03/2023 09:27;24/03/2023 09:28;35.961s;PASSED
"tap(findTestObject(""Object Repository/Profil/Profil_Button/android.view.View"")";Tap menu 'Akun';24/03/2023 09:28;24/03/2023 09:28;1.051s;PASSED
;;;;;
Test Cases/Profil/Ubah_Password/TC_UbahPassword_Button;Test case Profil tap tombol 'Ubah Password';24/03/2023 09:28;24/03/2023 09:28;4.438s;PASSED
swipe(100, 400, 0, 0);;24/03/2023 09:28;24/03/2023 09:28;1.166s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Button/android.view.View"")";"Tap tombol ""Ubah Password""";24/03/2023 09:28;24/03/2023 09:28;1.473s;PASSED
delay(1, CONTINUE_ON_FAILURE);;24/03/2023 09:28;24/03/2023 09:28;1.051s;PASSED
;;;;;
Test Cases/Profil/Ubah_Password/TC_UbahPassword_Null;"Test case tap tombol ""Simpan Perubahan"" tanpa mengisi semua field";24/03/2023 09:28;24/03/2023 09:28;4.049s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Submit/android.widget.Button"")";"Tap tombol ""Simpan Perubahan""";24/03/2023 09:28;24/03/2023 09:28;0.315s;PASSED
delay(2, CONTINUE_ON_FAILURE);;24/03/2023 09:28;24/03/2023 09:28;2.009s;PASSED
"verifyElementVisible(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Null/android.view.View"")";;24/03/2023 09:28;24/03/2023 09:28;0.299s;PASSED
"verifyMatch(""Password lama harus diisi"", ""Password lama harus diisi"")";;24/03/2023 09:28;24/03/2023 09:28;0.020s;PASSED
"verifyElementVisible(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Null/android.view.View (1)"")";;24/03/2023 09:28;24/03/2023 09:28;0.227s;PASSED
"verifyMatch(""Password baru harus diisi"", ""Password baru harus diisi"")";;24/03/2023 09:28;24/03/2023 09:28;0.005s;PASSED
"verifyElementVisible(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Null/android.view.View (2)"")";;24/03/2023 09:28;24/03/2023 09:28;0.255s;PASSED
"verifyMatch(""Password tidak sama diisi"", ""Password tidak sama diisi"")";;24/03/2023 09:28;24/03/2023 09:28;0.004s;PASSED
closeApplication();;24/03/2023 09:28;24/03/2023 09:28;0.532s;PASSED
