Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register__Email,,Test module Register tiap case Email,,2023-07-12 14:45:30,2023-07-12 14:51:21,5m - 51.300s,FAILED
,,,,,,,
Test Cases/Register/Email/Main/TC_Register_Email_Null,,Test case register dengan email kosong,,2023-07-12 14:45:30,2023-07-12 14:46:33,1m - 3.004s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], CONTINUE_ON_FAILURE)",,,,2023-07-12 14:45:30,2023-07-12 14:45:48,17.904s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], CONTINUE_ON_FAILURE)",,,,2023-07-12 14:45:48,2023-07-12 14:45:50,2.049s,PASSED
"callTestCase(findTestCase(""Register/Password/TC_Register_ValidPassword""), [:], CONTINUE_ON_FAILURE)",,,,2023-07-12 14:45:50,2023-07-12 14:45:57,6.901s,PASSED
"callTestCase(findTestCase(""Register/Address/TC_Register_ValidAddress""), [:], CONTINUE_ON_FAILURE)",,,,2023-07-12 14:45:57,2023-07-12 14:46:22,24.847s,PASSED
"callTestCase(findTestCase(""Register/Phone_Number/TC_Register_ValidPhone""), [:], CONTINUE_ON_FAILURE)",,,,2023-07-12 14:46:22,2023-07-12 14:46:29,7.406s,PASSED
"tap(findTestObject(""Register/Tombol Daftar""), 0)",,Tap tombol 'Daftar' setelah mengisi form Register,,2023-07-12 14:46:29,2023-07-12 14:46:30,0.921s,PASSED
"swipe(400, 400, 400, 1000)",,,,2023-07-12 14:46:30,2023-07-12 14:46:32,1.101s,PASSED
"waitForElementPresent(findTestObject(""Register/Email/Alert Email tidak valid""), 0)",,,,2023-07-12 14:46:32,2023-07-12 14:46:32,0.125s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/Email/Alert Email tidak valid""), 0)",,"Pastikan muncul alert ""Email tidak valid!""",,2023-07-12 14:46:32,2023-07-12 14:46:32,0.136s,PASSED
"takeScreenshot(getReportFolder() + ""Null Email Result.png"", CONTINUE_ON_FAILURE)",,,,2023-07-12 14:46:32,2023-07-12 14:46:32,0.707s,PASSED
closeApplication(),,,,2023-07-12 14:46:32,2023-07-12 14:46:33,0.467s,PASSED
,,,,,,,
Test Cases/Register/Email/Main/TC_Register_Email_Taken,,Test case register dengan email yang sudah terdaftar,,2023-07-12 14:46:33,2023-07-12 14:47:37,1m - 3.691s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], CONTINUE_ON_FAILURE)",,,,2023-07-12 14:46:33,2023-07-12 14:46:50,16.503s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], CONTINUE_ON_FAILURE)",,,,2023-07-12 14:46:50,2023-07-12 14:46:52,1.834s,PASSED
"callTestCase(findTestCase(""Register/Email/TC_Register_EmailTaken""), [:], CONTINUE_ON_FAILURE)",,,,2023-07-12 14:46:52,2023-07-12 14:46:54,2.114s,PASSED
"callTestCase(findTestCase(""Register/Password/TC_Register_ValidPassword""), [:], CONTINUE_ON_FAILURE)",,,,2023-07-12 14:46:54,2023-07-12 14:47:01,7.396s,PASSED
