Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Infinity Scroll,,Test module homepage infinity scroll produk,,2023-09-18 16:32:18,2023-09-18 16:32:40,22.400s,PASSED
,,,,,,,
Test Cases/Homepage/TC_Infinity_Scroll,,Test case infinity scroll produk,,2023-09-18 16:32:18,2023-09-18 16:32:40,22.167s,PASSED
"startExistingApplication(APP_EXIST, STOP_ON_FAILURE)",,,,2023-09-18 16:32:19,2023-09-18 16:32:33,14.436s,PASSED
"waitForElementPresent(findTestObject(""Kategori/Minuman""), 0)",,,,2023-09-18 16:32:33,2023-09-18 16:32:35,1.956s,PASSED
"swipe(0, 1400, 0, 0)",,,,2023-09-18 16:32:35,2023-09-18 16:32:36,1.215s,PASSED
"waitForElementPresent(findTestObject(""Search/Tambah Keranjang""), 0)",,,,2023-09-18 16:32:36,2023-09-18 16:32:38,1.227s,PASSED
"takeScreenshot(getReportFolder() + ""Scroll Produk.png"", CONTINUE_ON_FAILURE)",,,,2023-09-18 16:32:38,2023-09-18 16:32:39,1.094s,PASSED
"swipe(0, 1200, 0, 0)",,,,2023-09-18 16:32:39,2023-09-18 16:32:40,1.062s,PASSED
"takeScreenshot(getReportFolder() + ""Continue Scroll Produk.png"", CONTINUE_ON_FAILURE)",,,,2023-09-18 16:32:40,2023-09-18 16:32:40,0.824s,PASSED
