Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register Password,,Test modul register case tiap password,,2023-09-18 15:45:55,2023-09-18 15:49:54,3m - 59.342s,PASSED
,,,,,,,
Test Cases/Register/Password/Main/TC_Register_Character_Password,,Test case register cek format karakter password,,2023-09-18 15:45:55,2023-09-18 15:46:56,1m - 0.989s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:45:56,2023-09-18 15:46:12,16.449s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:46:12,2023-09-18 15:46:14,1.828s,PASSED
"callTestCase(findTestCase(""Register/Email/TC_Register_ValidEmail""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:46:14,2023-09-18 15:46:16,1.931s,PASSED
"tap(findTestObject(""Register/Password/Field Password - Register""), 0)",,Tap field 'Password',,2023-09-18 15:46:16,2023-09-18 15:46:17,1.687s,PASSED
"setEncryptedText(findTestObject(""Register/Password/Field Password - Register""), ""yVvBGCXjhlM="", 0)",,Input Password dibawah 6 karakter,,2023-09-18 15:46:17,2023-09-18 15:46:18,0.254s,PASSED
"tap(findTestObject(""Register/Password/Icon Field Password""), 0)",,Tap icon 'Mata tertutup',,2023-09-18 15:46:18,2023-09-18 15:46:19,1.429s,PASSED
"tap(findTestObject(""Register/Password/Field Konfirmasi Password - Register""), 0)",,Tap field 'Konfirmasi Password',,2023-09-18 15:46:19,2023-09-18 15:46:19,0.229s,PASSED
"setEncryptedText(findTestObject(""Register/Password/Field Konfirmasi Password - Register""), ""yVvBGCXjhlM="", 0)",,Input Konfirmasi Password sama dengan field Password,,2023-09-18 15:46:19,2023-09-18 15:46:21,1.183s,PASSED
"tap(findTestObject(""Register/Password/Icon Field Konfirmasi Password""), 0)",,Tap icon 'Mata tertutup',,2023-09-18 15:46:21,2023-09-18 15:46:22,1.431s,PASSED
"callTestCase(findTestCase(""Register/Address/TC_Register_ValidAddress""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:46:22,2023-09-18 15:46:45,22.999s,PASSED
"callTestCase(findTestCase(""Register/Phone_Number/TC_Register_ValidPhone""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:46:45,2023-09-18 15:46:52,7.479s,PASSED
"tap(findTestObject(""Register/Tombol Daftar""), 0)",,Tap tombol 'Daftar' setelah mengisi form Register,,2023-09-18 15:46:52,2023-09-18 15:46:54,1.219s,PASSED
"swipe(400, 400, 400, 1000)",,,,2023-09-18 15:46:54,2023-09-18 15:46:55,1.066s,PASSED
"waitForElementPresent(findTestObject(""Register/Password/Verify_Invalid_Password/Alert Syarat Password tak terpenuhi""), 0)",,,,2023-09-18 15:46:55,2023-09-18 15:46:55,0.123s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/Password/Verify_Invalid_Password/Alert Syarat Password tak terpenuhi""), 0)",,"Pastikan muncul alert ""Kata sandi minimal 6 karakter mengandung 1 angka dan 1 huruf!""",,2023-09-18 15:46:55,2023-09-18 15:46:55,0.138s,PASSED
"takeScreenshot(getReportFolder() + ""Invalid Character Password.png"", CONTINUE_ON_FAILURE)",,,,2023-09-18 15:46:55,2023-09-18 15:46:56,0.763s,PASSED
closeApplication(),,,,2023-09-18 15:46:56,2023-09-18 15:46:56,0.476s,PASSED
,,,,,,,
Test Cases/Register/Password/Main/TC_Register_Invalid_Confirm_Password,,Test case register cek konfirmasi password yang salah,,2023-09-18 15:46:56,2023-09-18 15:47:55,58.515s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:46:57,2023-09-18 15:47:12,15.399s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:47:12,2023-09-18 15:47:13,1.570s,PASSED
"callTestCase(findTestCase(""Register/Email/TC_Register_ValidEmail""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:47:13,2023-09-18 15:47:16,2.111s,PASSED
"tap(findTestObject(""Register/Password/Field Password - Register""), 0)",,Tap field 'Password',,2023-09-18 15:47:16,2023-09-18 15:47:17,1.688s,PASSED
"setEncryptedText(findTestObject(""Register/Password/Field Password - Register""), ""lsdNNXlVAZI="", 0)",,Input Password dengan format yang valid,,2023-09-18 15:47:17,2023-09-18 15:47:18,0.276s,PASSED
"tap(findTestObject(""Object Repository/Register/Password/Icon Field Password""), 0)",,Tap icon 'Mata tertutup',,2023-09-18 15:47:18,2023-09-18 15:47:18,0.687s,PASSED
"tap(findTestObject(""Register/Password/Field Konfirmasi Password - Register""), 0)",,Tap field 'Konfirmasi Password',,2023-09-18 15:47:18,2023-09-18 15:47:19,0.906s,PASSED
"setEncryptedText(findTestObject(""Register/Password/Field Konfirmasi Password - Register""), ""cVIwjfOa1J4="", 0)",,Input Konfirmasi Password yang berbeda dengan field Password,,2023-09-18 15:47:19,2023-09-18 15:47:20,1.151s,PASSED
"tap(findTestObject(""Object Repository/Register/Password/Icon Field Konfirmasi Password""), 0)",,Tap icon 'Mata tertutup',,2023-09-18 15:47:20,2023-09-18 15:47:22,1.407s,PASSED
"callTestCase(findTestCase(""Register/Address/TC_Register_ValidAddress""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:47:22,2023-09-18 15:47:45,23.135s,PASSED
"callTestCase(findTestCase(""Register/Phone_Number/TC_Register_ValidPhone""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:47:45,2023-09-18 15:47:52,7.592s,PASSED
"tap(findTestObject(""Register/Tombol Daftar""), 0)",,Tap tombol 'Daftar' setelah mengisi form Register,,2023-09-18 15:47:52,2023-09-18 15:47:53,0.746s,PASSED
"waitForElementPresent(findTestObject(""Register/Password/Verify_Confirm_Password/Alert Password Tidak Cocok""), 0)",,,,2023-09-18 15:47:53,2023-09-18 15:47:53,0.228s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/Password/Verify_Confirm_Password/Alert Password Tidak Cocok""), 0)",,"Pastikan muncul alert ""Password konfirmasi tidak cocok""",,2023-09-18 15:47:53,2023-09-18 15:47:54,0.154s,PASSED
"takeScreenshot(getReportFolder() + ""Cek Alert Confirm Password.png"", CONTINUE_ON_FAILURE)",,,,2023-09-18 15:47:54,2023-09-18 15:47:54,0.798s,PASSED
closeApplication(),,,,2023-09-18 15:47:54,2023-09-18 15:47:55,0.409s,PASSED
,,,,,,,
Test Cases/Register/Password/Main/TC_Register_Invalid_Password_Alphabet,,Test case register cek password dengan input huruf saja,,2023-09-18 15:47:55,2023-09-18 15:48:54,59.444s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:47:55,2023-09-18 15:48:11,15.821s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:48:11,2023-09-18 15:48:13,1.648s,PASSED
"callTestCase(findTestCase(""Register/Email/TC_Register_ValidEmail""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:48:13,2023-09-18 15:48:15,2.001s,PASSED
"tap(findTestObject(""Register/Password/Field Password - Register""), 0)",,Tap field 'Password',,2023-09-18 15:48:15,2023-09-18 15:48:16,1.705s,PASSED
"setEncryptedText(findTestObject(""Register/Password/Field Password - Register""), ""2Ch3tCa/S0s="", 0)",,Input Password dengan format yang salah (hanya huruf saja),,2023-09-18 15:48:16,2023-09-18 15:48:17,0.293s,PASSED
"tap(findTestObject(""Register/Password/Icon Field Password""), 0)",,Tap icon 'Mata tertutup',,2023-09-18 15:48:17,2023-09-18 15:48:17,0.647s,PASSED
"tap(findTestObject(""Register/Password/Field Konfirmasi Password - Register""), 0)",,Tap field 'Konfirmasi Password',,2023-09-18 15:48:17,2023-09-18 15:48:18,0.862s,PASSED
"setEncryptedText(findTestObject(""Register/Password/Field Konfirmasi Password - Register""), ""2Ch3tCa/S0s="", 0)",,Input Konfirmasi Password sama dengan field Password,,2023-09-18 15:48:18,2023-09-18 15:48:19,1.167s,PASSED
"tap(findTestObject(""Register/Password/Icon Field Konfirmasi Password""), 0)",,Tap icon 'Mata tertutup',,2023-09-18 15:48:19,2023-09-18 15:48:21,1.425s,PASSED
"callTestCase(findTestCase(""Register/Address/TC_Register_ValidAddress""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:48:21,2023-09-18 15:48:44,22.900s,PASSED
"callTestCase(findTestCase(""Register/Phone_Number/TC_Register_ValidPhone""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:48:44,2023-09-18 15:48:51,7.142s,PASSED
"tap(findTestObject(""Register/Tombol Daftar""), 0)",,Tap tombol 'Daftar' setelah mengisi form Register,,2023-09-18 15:48:51,2023-09-18 15:48:51,0.794s,PASSED
"swipe(400, 400, 400, 1000)",,,,2023-09-18 15:48:51,2023-09-18 15:48:53,1.070s,PASSED
"waitForElementPresent(findTestObject(""Register/Password/Verify_Invalid_Password/Alert Syarat Password tak terpenuhi""), 0)",,,,2023-09-18 15:48:53,2023-09-18 15:48:53,0.185s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/Password/Verify_Invalid_Password/Alert Syarat Password tak terpenuhi""), 0)",,"Pastikan muncul alert ""Kata sandi minimal 6 karakter mengandung 1 angka dan 1 huruf!""",,2023-09-18 15:48:53,2023-09-18 15:48:53,0.215s,PASSED
"takeScreenshot(getReportFolder() + ""Invalid Password Only Alphabet.png"", CONTINUE_ON_FAILURE)",,,,2023-09-18 15:48:53,2023-09-18 15:48:54,0.875s,PASSED
closeApplication(),,,,2023-09-18 15:48:54,2023-09-18 15:48:54,0.407s,PASSED
,,,,,,,
Test Cases/Register/Password/Main/TC_Register_Invalid_Password_Number,,Test case register cek password dengan input angka saja,,2023-09-18 15:48:54,2023-09-18 15:49:54,1m - 0.153s,PASSED
"callTestCase(findTestCase(""Register/Redirect_to_RegisterPage""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:48:55,2023-09-18 15:49:09,14.802s,PASSED
"callTestCase(findTestCase(""Register/Name/TC_Register_ValidName""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:49:09,2023-09-18 15:49:11,1.592s,PASSED
"callTestCase(findTestCase(""Register/Email/TC_Register_ValidEmail""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:49:11,2023-09-18 15:49:14,3.041s,PASSED
"tap(findTestObject(""Register/Password/Field Password - Register""), 0)",,Tap field 'Password',,2023-09-18 15:49:14,2023-09-18 15:49:16,1.794s,PASSED
"setEncryptedText(findTestObject(""Register/Password/Field Password - Register""), ""aeHFOx8jV/A="", 0)",,Input Password dengan angka saja,,2023-09-18 15:49:16,2023-09-18 15:49:16,0.317s,PASSED
"tap(findTestObject(""Register/Password/Icon Field Password""), 0)",,Tap icon 'Mata tertutup',,2023-09-18 15:49:16,2023-09-18 15:49:18,1.859s,PASSED
"tap(findTestObject(""Register/Password/Field Konfirmasi Password - Register""), 0)",,Tap field 'Konfirmasi Password',,2023-09-18 15:49:18,2023-09-18 15:49:18,0.260s,PASSED
"setEncryptedText(findTestObject(""Register/Password/Field Konfirmasi Password - Register""), ""aeHFOx8jV/A="", 0)",,Input Konfirmasi Password sama dengan field Password,,2023-09-18 15:49:18,2023-09-18 15:49:20,1.629s,PASSED
"tap(findTestObject(""Register/Password/Icon Field Konfirmasi Password""), 0)",,Tap icon 'Mata tertutup',,2023-09-18 15:49:20,2023-09-18 15:49:21,0.700s,PASSED
"callTestCase(findTestCase(""Register/Address/TC_Register_ValidAddress""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:49:21,2023-09-18 15:49:44,23.616s,PASSED
"callTestCase(findTestCase(""Register/Phone_Number/TC_Register_ValidPhone""), [:], CONTINUE_ON_FAILURE)",,,,2023-09-18 15:49:44,2023-09-18 15:49:51,6.926s,PASSED
"tap(findTestObject(""Register/Tombol Daftar""), 0)",,Tap tombol 'Daftar' setelah mengisi form Register,,2023-09-18 15:49:51,2023-09-18 15:49:52,0.746s,PASSED
"swipe(400, 400, 400, 1000)",,,,2023-09-18 15:49:52,2023-09-18 15:49:53,1.061s,PASSED
"waitForElementPresent(findTestObject(""Register/Password/Verify_Invalid_Password/Alert Syarat Password tak terpenuhi""), 0)",,,,2023-09-18 15:49:53,2023-09-18 15:49:53,0.156s,PASSED
