Suite/Test/Step Name;Description;Start time;End time;Duration;Status
Sorting_From_Z;Test module sorting diurutkan dari huruf Z;23/03/2023 10:26;23/03/2023 10:27;49.840s;PASSED
;;;;;
Test Cases/Kategori/TC_Kategori_IbuAnak;Test case kategori jenis produk 'Ibu & Anak';23/03/2023 10:26;23/03/2023 10:26;39.416s;PASSED
startApplication(APP, false);;23/03/2023 10:26;23/03/2023 10:26;34.417s;PASSED
"tap(findTestObject(""Object Repository/Kategori/Ibu_Anak/android.widget.ImageView"")";Tap jenis kategori 'Ibu & Anak';23/03/2023 10:26;23/03/2023 10:26;2.224s;PASSED
delay(2, CONTINUE_ON_FAILURE);;23/03/2023 10:26;23/03/2023 10:26;2.262s;PASSED
;;;;;
Test Cases/Sorting/TC_Sort_Button;Test case Sorting tap tombol 'Sort';23/03/2023 10:26;23/03/2023 10:26;2.433s;PASSED
"tap(findTestObject(""Object Repository/Sorting/Sort_Button/android.view.View"")";Tap tombol 'Sort';23/03/2023 10:26;23/03/2023 10:26;1.066s;PASSED
delay(1, CONTINUE_ON_FAILURE);;23/03/2023 10:26;23/03/2023 10:26;1.007s;PASSED
;;;;;
Test Cases/Sorting/TC_Sort_Z;Test case sorting diurutkan dari huruf Z sampai A;23/03/2023 10:26;23/03/2023 10:27;7.507s;PASSED
"tap(findTestObject(""Object Repository/Sorting/Sort_Z/android.view.View"")";Tap opsi 'Nama [Z - A]';23/03/2023 10:26;23/03/2023 10:26;1.024s;PASSED
delay(3, CONTINUE_ON_FAILURE);;23/03/2023 10:26;23/03/2023 10:27;3.021s;PASSED
swipe(100, 600, 0, 0);;23/03/2023 10:27;23/03/2023 10:27;1.092s;PASSED
delay(2, CONTINUE_ON_FAILURE);;23/03/2023 10:27;23/03/2023 10:27;2.015s;PASSED
