Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
ResetPassword_InvalidEmail;;Test module reset password dengan email yang belum terdaftar;17/03/2023 16:39;17/03/2023 16:40;41.342s;PASSED
;;;;;;
Test Cases/Lupa_Password/TC_ResetPassword_InvalidEmail;;Test case reset password dengan email yang tidak terdaftar;17/03/2023 16:39;17/03/2023 16:40;41.018s;PASSED
startApplication(APP; false);;17/03/2023 16:39;17/03/2023 16:40;26.815s;PASSED
"tap(findTestObject(""Lupa_Password/InvalidEmail/android.view.View"")"; 0);Tap menu Akun;17/03/2023 16:40;17/03/2023 16:40;1.025s;PASSED
"tap(findTestObject(""Lupa_Password/InvalidEmail/android.widget.Button"")"; 0);Tap tombol 'Lupa Password?';17/03/2023 16:40;17/03/2023 16:40;1.280s;PASSED
"tap(findTestObject(""Lupa_Password/InvalidEmail/android.widget.Button (1)"")"; 0);Tap tombol 'Kirim Link Reset';17/03/2023 16:40;17/03/2023 16:40;0.951s;PASSED
"tap(findTestObject(""Lupa_Password/InvalidEmail/android.view.View (1)"")"; 0);Tap field Email untuk Reset Password;17/03/2023 16:40;17/03/2023 16:40;0.291s;PASSED
"setText(findTestObject(""Lupa_Password/InvalidEmail/android.view.View (1)"")";" ""abc@gmail.com""";;17/03/2023 16:40;17/03/2023 16:40;1.031s;PASSED
"setText(findTestObject(""Lupa_Password/InvalidEmail/android.widget.EditText - Masukkan alamat Email yang terdaftar di KLIK INDOGROSIRAlamat Email"")";" ""abc@gmail.com""";Input email yang terdaftar;17/03/2023 16:40;17/03/2023 16:40;0.709s;PASSED
"tap(findTestObject(""Lupa_Password/InvalidEmail/android.widget.Button (2)"")"; 0);Tap tombol 'Kirim Link Reset';17/03/2023 16:40;17/03/2023 16:40;1.362s;PASSED
delay(4; OPTIONAL);;17/03/2023 16:40;17/03/2023 16:40;4.049s;PASSED
"tap(findTestObject(""Lupa_Password/InvalidEmail/android.widget.Button (3)"")"; 0);Tap tombol 'Ok' pada pop-up konfirmasi kirim email reset password;17/03/2023 16:40;17/03/2023 16:40;1.097s;PASSED
delay(2; OPTIONAL);;17/03/2023 16:40;17/03/2023 16:40;2.012s;PASSED
