Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Filter_Min;;Test module Filter mencari harga minimum;21/03/2023 14:57;21/03/2023 14:58;49.875s;PASSED
;;;;;;
Test Cases/Kategori/TC_Kategori_IbuAnak;;Test case kategori jenis produk 'Ibu & Anak';21/03/2023 14:57;21/03/2023 14:57;38.122s;PASSED
startApplication(APP, false);;;21/03/2023 14:57;21/03/2023 14:57;34.977s;PASSED
"tap(findTestObject(""Object Repository/Kategori/Ibu_Anak/android.widget.ImageView"")";;Tap kategori jenis 'Ibu & Anak';21/03/2023 14:57;21/03/2023 14:57;1.513s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;21/03/2023 14:57;21/03/2023 14:57;1.049s;PASSED
;;;;;;
Test Cases/Filter/TC_Filter_Button;;Test case tap tombol 'Filter';21/03/2023 14:57;21/03/2023 14:57;1.825s;PASSED
"tap(findTestObject(""Object Repository/Filter/Filter_Button/android.view.View"")";;Tap tombol 'Filter';21/03/2023 14:57;21/03/2023 14:57;1.073s;PASSED
;;;;;;
Test Cases/Filter/TC_Filter_Min;;Test case Filter harga minimum;21/03/2023 14:57;21/03/2023 14:57;3.829s;PASSED
"tap(findTestObject(""Object Repository/Filter/Min/android.widget.EditText - 0"")";;Tap field 'Minimum';21/03/2023 14:57;21/03/2023 14:57;1.495s;PASSED
"setText(findTestObject(""Object Repository/Filter/Min/android.widget.EditText - 0 (1)"")";" ""20000""";Input data '20000' pada field Minimum;21/03/2023 14:57;21/03/2023 14:57;0.491s;PASSED
pressBack();;;21/03/2023 14:57;21/03/2023 14:57;0.568s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;21/03/2023 14:57;21/03/2023 14:57;1.013s;PASSED
;;;;;;
Test Cases/Filter/TC_Filter_Submit;;Test case Filter tap tombol 'Terapkan';21/03/2023 14:57;21/03/2023 14:58;5.731s;PASSED
"tap(findTestObject(""Object Repository/Filter/Submit_Button/android.widget.Button"")";;Tap tombol 'Terapkan';21/03/2023 14:57;21/03/2023 14:57;1.338s;PASSED
swipe(100, 400, 0, 0);;;21/03/2023 14:57;21/03/2023 14:57;1.081s;PASSED
delay(3, CONTINUE_ON_FAILURE);;;21/03/2023 14:57;21/03/2023 14:58;3.005s;PASSED
