Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Filter_Max;;Test module Filter mencari rentang harga maksimum;21/03/2023 14:55;21/03/2023 14:56;42.276s;PASSED
;;;;;;
Test Cases/Kategori/TC_Kategori_IbuAnak;;Test case kategori jenis produk 'Ibu & Anak';21/03/2023 14:55;21/03/2023 14:56;30.841s;PASSED
startApplication(APP, false);;;21/03/2023 14:55;21/03/2023 14:56;27.845s;PASSED
"tap(findTestObject(""Object Repository/Kategori/Ibu_Anak/android.widget.ImageView"")";;Tap kategori jenis 'Ibu & Anak';21/03/2023 14:56;21/03/2023 14:56;1.462s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;21/03/2023 14:56;21/03/2023 14:56;1.062s;PASSED
;;;;;;
Test Cases/Filter/TC_Filter_Button;;Test case tap tombol 'Filter';21/03/2023 14:56;21/03/2023 14:56;1.616s;PASSED
"tap(findTestObject(""Object Repository/Filter/Filter_Button/android.view.View"")";;Tap tombol 'Filter';21/03/2023 14:56;21/03/2023 14:56;1.048s;PASSED
;;;;;;
Test Cases/Filter/TC_Filter_Max;;Test case Filter harga maksimum;21/03/2023 14:56;21/03/2023 14:56;4.107s;PASSED
"tap(findTestObject(""Object Repository/Filter/Max/android.widget.EditText - 9999999"")";;Tap field 'Maksimum';21/03/2023 14:56;21/03/2023 14:56;1.785s;PASSED
"setText(findTestObject(""Object Repository/Filter/Max/android.widget.EditText - 9999999 (1)"")";" ""40000""";Input data '40000' pada field Maksimum;21/03/2023 14:56;21/03/2023 14:56;0.483s;PASSED
pressBack();;;21/03/2023 14:56;21/03/2023 14:56;0.550s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;21/03/2023 14:56;21/03/2023 14:56;1.016s;PASSED
;;;;;;
Test Cases/Filter/TC_Filter_Submit;;Test case Filter tap tombol 'Terapkan';21/03/2023 14:56;21/03/2023 14:56;5.369s;PASSED
"tap(findTestObject(""Object Repository/Filter/Submit_Button/android.widget.Button"")"; 0);Tap tombol 'Terapkan';21/03/2023 14:56;21/03/2023 14:56;0.978s;PASSED
swipe(100, 400, 0, 0);;;21/03/2023 14:56;21/03/2023 14:56;1.053s;PASSED
delay(3, CONTINUE_ON_FAILURE);;;21/03/2023 14:56;21/03/2023 14:56;3.012s;PASSED
